SampleID	TotalFragments	rDNA_Fragments	MappedFragments	TotalCount	perc_rDNA	perc_mapped	perc_counted
11875	110138307	2389940	90504662	27723818	2.1699443773000797	82.1736455418731	25.171821462626987
12107	85630618	775035	68777130	27406457	0.9050909804247822	80.31838565032895	32.00544109117606
12545	123653448	5009196	97776386	34145064	4.050995812102223	79.07291513617962	27.613515475929145
12546	68339692	1339761	56488645	17869552	1.9604434272252793	82.65861806927663	26.148130723211338
12993	232303011	6662027	184484708	71798396	2.867817757213659	79.41554748078578	30.907217125997562
12994	109140411	5191371	85114320	33091129	4.756598360253564	77.98607245486734	30.31977678735331
13008	69023765	1653805	54595411	21941736	2.395993611765455	79.09654160418516	31.788668728806663
13142	307077593	13408504	240795017	85137928	4.366487267600798	78.41503987560564	27.725216668609225
15240	98864388	1296299	87850341	24908559	1.3111890198521232	88.85943945761339	25.1946727268468
15296	78058597	1710513	65498931	21051155	2.191319170135738	83.90995164824702	26.96840041847024
15329	117346445	604599	100133709	30703595	0.515225663632162	85.3316936870137	26.16491279305479
15468	134994666	11282562	108769057	33248153	8.357783558648162	80.57285537489311	24.629234609906735
15533	153548265	7219655	122958676	62195146	4.701879894246932	80.07819300335305	40.50527435135786
15655	106796601	113033	93586184	24769578	0.10583951075371772	87.63030201682169	23.193226908036145
15768	145062694	6061117	122643373	37853545	4.17827411918877	84.54508159072243	26.094610513713473
16024	174654095	3683613	153041928	60788816	2.109090542652321	87.62573130621415	34.80526236730951
16115	181259480	5238318	158568207	56461345	2.8899553281295964	87.48133173503531	31.149457672503527
